Iteration	AverageReturn	StdReturn
0	868.3422405945806	146.6150885872502
1	818.4806594149791	148.50735170570266
2	714.5474898095231	75.29817840163176
3	763.0306006837452	122.33996758832005
4	740.4038709043725	122.58966743922551
5	766.5425175965263	144.26720458105
6	756.3098593244952	126.95527268156529
7	775.756449440855	125.42370440914353
8	768.4126285388313	146.21825422698456
9	823.4887080097972	168.32277112548135
10	790.2757195740605	144.62689586134323
11	801.6754105890907	131.49217881379946
12	789.9426363452679	139.1950503834389
13	785.4379972294803	139.54249825981682
14	740.0638680461796	106.99218966148285
15	777.3787678925733	138.99756954531253
16	714.6819053264029	81.17820780495803
17	760.8239466559061	134.09611643935554
18	762.4387546887923	143.05417518934888
19	735.441649398024	117.65054368059984
